Ångström bar experiment:
Date: 17-10-2024
Start time: 13:57:41
Time   ,Heater status  ,Temp P   ,Temp Q   
1009,0,21.3,21.0
1010,0,21.3,21.1
1012,0,21.3,21.2
1012,0,21.3,21.1
1013,0,21.3,21.1
1014,0,21.3,21.2
1015,0,21.5,21.1
1016,0,21.3,21.1
1017,0,21.2,21.1
1018,0,21.3,21.1
1019,0,21.3,21.1
1021,0,21.2,21.0
1021,0,21.3,21.2
1022,0,21.3,21.1
1023,0,21.3,21.2
1025,0,21.3,21.2
1025,0,21.3,21.1
1026,0,21.3,21.3
1028,0,21.4,21.1
1028,0,21.3,21.1
1029,0,21.3,21.3
1031,0,21.3,21.1
1031,0,21.3,21.2
1032,0,21.3,21.2
1033,0,21.3,21.1
1034,0,21.3,21.1
1035,0,21.3,21.1
1036,0,21.2,21.2
1037,0,21.3,21.1
1038,0,21.3,21.3
1039,0,21.3,21.3
1040,0,21.3,21.3
1042,0,21.3,21.2
1042,0,21.3,21.1
1043,0,21.3,21.3
1044,0,21.3,21.2
1045,0,21.3,21.2
1046,0,21.3,21.2
1047,0,21.3,21.1
1048,0,21.3,21.2
1049,0,21.3,21.2
1050,0,21.3,21.3
1051,0,21.3,21.3
1052,0,21.3,21.2
1053,0,21.2,21.1
1054,0,21.3,21.2
1055,0,21.3,21.1
1056,0,21.3,21.1
1057,0,21.3,21.3
1058,0,21.3,21.2
1059,0,21.3,21.1
1060,0,21.2,21.2
1061,0,21.4,21.1
1062,0,21.3,21.1
1063,0,21.3,21.3
1064,0,21.2,21.3
1065,0,21.2,21.3
1066,0,21.3,21.3
1067,0,21.4,21.1
1068,0,21.3,21.1
1069,0,21.3,21.1
1070,0,21.3,21.1
1071,0,21.3,21.2
1072,0,21.3,21.1
1073,0,21.3,21.1
1074,0,21.3,21.1
1075,0,21.2,21.1
1076,0,21.3,21.2
1077,0,21.5,21.1
1078,0,21.3,21.2
1079,0,21.3,21.2
1080,0,21.3,21.1
1081,0,21.4,21.2
1082,0,21.3,21.1
1083,0,21.3,21.2
1084,0,21.3,21.1
1085,0,21.3,21.2
1086,0,21.3,21.2
1087,0,21.3,21.3
1088,0,21.4,21.3
1089,0,21.4,21.3
1090,0,21.3,21.3
1091,0,21.3,21.3
1092,0,21.3,21.3
1093,0,21.3,21.1
1094,0,21.3,21.2
1095,0,21.3,21.1
1096,0,21.3,21.4
1097,0,21.3,21.3
1098,0,21.3,21.2
1099,0,21.3,21.2
1100,0,21.3,21.2
1101,0,21.3,21.3
1102,0,21.3,21.2
1103,0,21.2,21.1
1104,0,21.4,21.1
1105,0,21.3,21.3
1106,0,21.2,21.3
1107,0,21.3,21.1
1108,0,21.3,21.3
1109,0,21.3,21.1
1110,0,21.4,21.3
1111,0,21.3,21.2
1112,0,21.3,21.2
1113,0,21.4,21.3
1114,0,21.4,21.2
1115,0,21.3,21.1
1116,0,21.3,21.3
1117,0,21.3,21.3
1118,0,21.3,21.2
1119,0,21.3,21.1
1120,0,21.3,21.2
1121,0,21.3,21.1
1122,0,21.3,21.3
1123,0,21.4,21.3
1124,0,21.4,21.2
1125,0,21.3,21.1
1126,0,21.3,21.2
1127,0,21.3,21.1
